"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","150","500","73","40","19","13","""1979078296""","1.3342359261038563","1.3342359261038563","1.3342359261038563","0","1.3342359261038563"
"1","151","500","91","85","10","5","""843659024""","35.41517067446625","35.41517067446625","35.41517067446625","0","35.41517067446625"
"1","152","500","91","85","10","5","""647948031""","35.73516285419255","35.73516285419255","35.73516285419255","0","35.73516285419255"
"1","153","500","91","85","10","5","""-1712553884""","35.717907916134784","35.717907916134784","35.717907916134784","0","35.717907916134784"
"1","154","500","91","85","10","5","""-1560617301""","35.75557969237237","35.75557969237237","35.75557969237237","0","35.75557969237237"
"1","155","500","91","85","10","5","""384925175""","35.93957851991878","35.93957851991878","35.93957851991878","0","35.93957851991878"
"1","156","500","91","85","10","5","""-789327756""","35.81692947799028","35.81692947799028","35.81692947799028","0","35.81692947799028"
"1","157","500","91","85","10","5","""1495707654""","35.55902528025824","35.55902528025824","35.55902528025824","0","35.55902528025824"
"1","158","500","91","85","10","5","""92676803""","35.60384527832741","35.60384527832741","35.60384527832741","0","35.60384527832741"
"1","159","500","91","85","10","5","""2061758628""","35.56665790165658","35.56665790165658","35.56665790165658","0","35.56665790165658"
"1","160","500","91","85","10","5","""-1110346497""","35.79107451885259","35.79107451885259","35.79107451885259","0","35.79107451885259"
"1","161","500","76","90","20","15","""-1914669890""","31.91466958682559","31.91466958682559","31.91466958682559","0","31.91466958682559"
"1","162","500","76","90","20","15","""1816484927""","32.179728317659354","32.179728317659354","32.179728317659354","0","32.179728317659354"
"1","163","500","76","90","20","15","""228832080""","32.345689330937354","32.345689330937354","32.345689330937354","0","32.345689330937354"
"1","164","500","76","90","20","15","""1027880184""","32.45079071332436","32.45079071332436","32.45079071332436","0","32.45079071332436"
"1","165","500","76","90","20","15","""-1827092664""","32.14420220111311","32.14420220111311","32.14420220111311","0","32.14420220111311"
"1","166","500","76","90","20","15","""842144270""","32.465051845010706","32.465051845010706","32.465051845010706","0","32.465051845010706"
"1","167","500","76","90","20","15","""810753688""","32.06422499737643","32.06422499737643","32.06422499737643","0","32.06422499737643"
"1","168","500","76","90","20","15","""-78947058""","32.46696127505393","32.46696127505393","32.46696127505393","0","32.46696127505393"
"1","169","500","76","90","20","15","""-805999561""","32.551159618008185","32.551159618008185","32.551159618008185","0","32.551159618008185"
"1","170","500","76","90","20","15","""398650672""","31.39945366673671","31.39945366673671","31.39945366673671","0","31.39945366673671"
"1","171","500","88","54","15","24","""1548626099""","21.290626471973624","21.290626471973624","21.290626471973624","0","21.290626471973624"
"1","172","500","88","54","15","24","""562878181""","21.760005797836683","21.760005797836683","21.760005797836683","0","21.760005797836683"
"1","173","500","88","54","15","24","""-675292002""","20.231014724015377","20.231014724015377","20.231014724015377","0","20.231014724015377"
"1","174","500","88","54","15","24","""-331935584""","22.488964469209062","22.488964469209062","22.488964469209062","0","22.488964469209062"
"1","175","500","88","54","15","24","""1136703263""","21.87103785546097","21.87103785546097","21.87103785546097","0","21.87103785546097"
